author,quote,rank,rate,title
当年明月 ,内忧外患之际，你方唱罢我登场,16,8.8,"
                明朝那些事儿（伍）

                
                  ,
              "
老舍 ,如骆驼喘息般深刻的绝望,17,8.2,"
                骆驼祥子

                
              "
南派三叔 ,逼近死亡的云顶天宫之旅,18,8.4,"
                盗墓笔记3

                
                  ,
              "
[美] 欧·亨利 ,日常的奇迹,19,8.6,"
                麦琪的礼物

                
                  ,
              "
格林兄弟 ,许多隐晦,20,8.9,"
                格林童话全集

                
              "
[美] 莫提默·J. 艾德勒 ,读书的方法论,21,8.5,"
                如何阅读一本书

                
              "
[美] 雷蒙德·卡佛 ,疏离而断裂，生活的冷与干涩,22,7.8,"
                当我们谈论爱情时我们在谈论什么

                
              "
阿来 ,一个傻子的土司家族传奇,23,8.4,"
                尘埃落定

                
              "
张悦然 ,暴食与减肥的桥段印象深刻,24,7.8,"
                水仙已乘鲤鱼去

                
              "
林达 ,窥见美国社会的一扇窗,25,9.0,"
                历史深处的忧虑

                
                  ,
              "
东野圭吾 ,,1,9.0,"
                嫌疑人X的献身

                
              "
郭敬明 ,淳朴自贡少年十里洋场欲海翻波为哪般,2,6.3,"
                小时代2.0虚铜时代

                
              "
张爱玲 ,曹七巧就像希克厉，一个扭曲的英雄,3,8.5,"
                金锁记

                
              "
八月长安 ,原作名切题,4,8.8,"
                你好，旧时光（上 下）

                
              "
笛安 ,自毁而偏执的东霓,5,8.1,"
                东霓

                
              "
尾田荣一郎 ,热血，梦想，希望,6,9.5,"
                海贼王

                
                  ,
              "
桐华 ,所有你曾热爱却正在遗忘的人和事,7,8.5,"
                那些回不去的年少时光

                
              "
龙应台 ,我们现在怎样做母亲,8,8.8,"
                孩子你慢慢来

                
              "
安东尼 ,定做一个刻着“不过如此”的章，盖在封面上,9,8.3,"
                橙

                
                  ,
              "
[法] 雨果 ,现实主义与浪漫主义的至高杰作,10,8.9,"
                悲惨世界（上中下）

                
              "
南派三叔 ,蛇沼鬼城，坑越挖越多了,11,8.4,"
                盗墓笔记4

                
                  ,
              "
[美] 卡罗琳·帕克丝特 ,超越语言与生死的爱,12,7.7,"
                巴别塔之犬

                
              "
[德] 帕·聚斯金德 ,恋味癖谋杀案,13,8.5,"
                香水

                
                  ,
              "
三毛 ,哀而不伤,14,8.9,"
                梦里花落知多少

                
              "
王小波 ,生活就是个缓慢受锤的过程，至少还可以特立独行,15,8.8,"
                一只特立独行的猪

                
              "
[法] 阿尔贝·加缪 ,,16,9.0,"
                局外人

                
              "
【英】蕾秋·乔伊斯 ,,17,8.1,"
                一个人的朝圣

                
              "
[美] 沃尔特·艾萨克森 ,完美主义者的最高形态,18,8.7,"
                史蒂夫·乔布斯传

                
              "
[意大利]伊塔洛·卡尔维诺 ,每一座城市都只在想象中耸立，又在描述中坍圮,19,8.8,"
                看不见的城市

                
              "
王安忆 ,现代上海史诗,20,8.3,"
                长恨歌

                
              "
九夜茴 ,不悔梦归处 只恨太匆匆,21,8.3,"
                匆匆那年（上下）

                
              "
孙睿 ,大学生活启蒙读物,22,7.2,"
                草样年华

                
                  ,
              "
章诒和 ,知识分子的命运浮沉,23,8.6,"
                往事并不如烟

                
              "
安妮宝贝 ,你们不会彼此遗忘。只会彼此消失,24,8.0,"
                蔷薇岛屿

                
              "
寂地 ,忧郁的温暖,25,8.6,"
                我的路

                
              "
（美）鲁思・本尼迪克特 ,复杂矛盾的日本民族,1,8.2,"
                菊与刀

                
                  ,
              "
